Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAP-SMD_BD12.5-L13.0-W13.0-RD,2,10uF,
C3,C1206,1,.01,
C4,C1206,1,470p,
C5,C1206,1,0.1,
C6,CAP-SMD_MED,1,220uf,
CN1,HDR-4X1/2.54,1,+12v/GND/GND/HV,
D1,SMA_L4.4-W2.8-LS5.4-RD,1,ES1G-13-F,
D2,SOD-123_L2.8-W1.8-LS3.7-RD,1,1N4148FL,
D3,D1206-RD,1,D1206 Diode GP,
IC1,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,MC34063,
L1,IND-SMD_L10.5-W10.3_PSPHAQ104R,1,180uH,
Q1,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,1,STN3N40K3,
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,MMBT3906,
"R1, R2",1206,2,0.5,
R3,1206,1,1K,
R4,1206,1,470K,
R5,1206,1,47K,
R6,1206,1,1M,
R7,1206,1,10K,
TR1,RES-ADJ-SMD_3P-L4.8-W4.6-P2.30-TR,1,50kΩ,
